Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc
113535.74+533407.4,-1.4825985298273083,-1.2156349888034303,2.1449384895688945,1.7587109553216977,0.037237136628514245,0.0305320457681476,0.11699169207816208,0.10635672780438388,-1.527252122779713,-1.301135475818313,1.8346730554502797,1.5630413363770819,0.06763264233428046,0.05761932096993822,0.24234189482081372,0.2911460056473733
154059.00+401232.1,-0.973251607756112,-1.3924601710281186,1.0043960062729027,1.4370193930624333,0.019800104384082418,0.028328601275676508,0.06030500362893214,,-2.4492750620074775,-1.1782903353876808,3.9302101902188165,1.8907344279173786,0.09519373624178301,0.045795534010460805,0.28189459970263653,0.18206594652711294
145806.56+355911.2,-1.1790654795013202,-1.221116096224608,1.6824498023589096,1.7424532992173607,0.023079794264609987,0.02390292037553974,0.06588652471486817,,-2.0375125680231982,-1.2321381381197638,2.8305218644028196,1.7116919888726128,0.06051225823413281,0.036593374865100635,0.17604035904329127,
151639.06+280520.4,4.212286050761965,1.0868907951481435,-9.891931684417294,-2.552402511240324,0.13690011697575682,0.03532416250998396,0.293788321701902,0.13806008828687988,3.9730660110528637,1.0865782492374494,-9.347684442027925,-2.5564615758174227,0.15163579928231607,0.04147028034458399,0.3001331858874547,0.16424813621142578
124151.80+534351.3,-0.016422580212146185,-1.3230441752565116,0.01895752773921458,1.527265894191288,0.0002582014467734095,0.0208013549505276,0.0006583530887926452,0.05303878837108597,-0.9341073925271935,-1.196869167079579,1.4203842905652235,1.8199343848274143,0.02781323735009439,0.035637022560042544,0.08847068516218921,
122702.40+550531.9,2.568199453046106,1.407422163561356,-2.5931658673705216,-1.4211042336292243,0.04701183399605907,0.025763379490344015,0.12811801364223532,0.07759720188623033,0.25266560201889154,1.4491368752594187,-0.2409074528077994,-1.3816992522887934,0.005897240460386033,0.03382299982717182,0.01859002077866316,
142349.72+523903.6,-2.4558579417256614,-1.4413126058707941,2.3660198193525086,1.388587724653437,0.03154717751458436,0.018514647715927774,0.07799784380163508,0.04811558049495628,-1.4619578478896635,-1.4427350266658099,1.4058038549808893,1.3873193848444143,0.029311018471686212,0.028925617162897713,0.08162653572919633,
160833.97+421413.4,1.2426008150704417,1.593692161519864,-1.0013635108135208,-1.2842943273983383,0.04191743895113084,0.05376102532462739,0.15991292564508164,,-2.366572803324297,-1.092130228962482,5.390442735694067,2.4875911067993415,0.32150390538104096,0.1483681944214471,1.1025277486501943,
013620.77+301949.3,-1.4811676703472274,-1.272102305787972,1.883753932122428,1.6178639114019635,0.048220787810696886,0.041414470886013736,0.13620910357477112,0.1317463684790648,-0.07308938365744676,-1.507487541973562,0.06479212366804134,1.336354397313777,0.0027717798270090466,0.05716867962511614,0.008019445519173883,
023324.70-012819.6,-1.096008581016715,-1.2419075740807797,1.488265345204469,1.686380961303065,0.03660953815656953,0.0414829441189837,0.07272000450458503,0.08591318598785301,-1.3551429618794102,-1.278468750196703,1.7012782225439458,1.6050196208790668,0.05182976318090532,0.04889722665495393,0.12792236188126252,0.14212049985742942
